period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features “deployed” válidas,Número de features “deployed”,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº  de vulnerabilidades “high”,Nº de Lineas de código ,Nº de vulnerabilidades “high” en el mes anterior,Líneas de código en el mes anterior,Fichas RFO con status OK,SN2 con Dependencias asignadas,Calidad de Features,Cumpliminto objetivo adopción del Op. Model, Evolución de vulnerabilidades,Peso - Fichas RFO con status OK,Peso - SN2 con Dependencias asignadas, Peso - Calidad de Features,Peso - Cumpliminto objetivo adopción del Op. Model,Peso -  Evolución de vulnerabilidades,Distribución pesos si no aplica indicador,% Adopción total,Está certificado? (>= 70%),Nivel de Certificación
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,55,LOANS,9,9,8,9,75,77,"4,0",6,"0,0040","0,0042","-4,5559",15,3.779.361,15,3.607.178,"100,00%","88,89%","97,40%","66,67%","100,00%","0,1300","0,1156","0,1948","0,1800","0,2700","1,0000",89%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,169,ACCOUNTS,7,5,7,7,35,35,"2,5",3,"0,0000","0,0000","0,0000",0,573.105,0,494.725,"71,43%","100,00%","100,00%","83,33%","100,00%","0,0929","0,1300","0,2000","0,2250","0,2700","1,0000",92%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,172,PERSONAS Y ARQ. HOST,4,4,4,4,19,28,"1,0",2,"0,0000","0,0000","0,0000",0,239.321,0,225.516,"100,00%","100,00%","67,86%","50,00%","100,00%","0,1300","0,1300","0,1357","0,1350","0,2700","1,0000",80%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,173,VENTAS ASISTIDAS CAP,2,2,2,2,7,8,"1,5",2,"0,1364","0,1607","-15,1206",90,659.656,90,559.912,"100,00%","100,00%","87,50%","75,00%","100,00%","0,1300","0,1300","0,1750","0,2025","0,2700","1,0000",91%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,174,PROCESS AUTOMATION,18,18,17,17,12,12,"5,0",7,"0,0190","0,0008","2172,8586",50,2.629.529,2,2.390.619,"100,00%","100,00%","100,00%","71,43%","0,00%","0,1300","0,1300","0,2000","0,1929","0,0000","1,0000",65%,0,Not certified
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,7283,GESTIÓN REMOTA RETAIL,1,1,1,1,27,27,"0,0",1,"0,0000","0,0000","0,0000",0,54.973,0,40.535,"100,00%","100,00%","100,00%","0,00%","100,00%","0,1300","0,1300","0,2000","0,0000","0,2700","1,0000",73%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CORE,7437,GESTIÓN REMOTA PYMES,0,0,0,1,10,10,"0,0",0,"0,0000","-99,0000","0,0000",0,44.753,0,0,-,"0,00%","100,00%",-,"100,00%",-,"0,0000","0,2000",-,"0,2700","0,6000",78%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,DATA TRANSFORMATION,111,CLIENT SOLUTIONS,1,1,1,1,1,2,"1,0",1,"-99,0000","-99,0000","0,0000",0,0,0,0,"100,00%","100,00%","50,00%","100,00%",-,"0,1300","0,1300","0,1000","0,2700",-,"0,7300",86%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,DevOps,6110,TESTING TOOLS,4,4,0,4,0,0,"0,0",0,"-99,0000","-99,0000","0,0000",0,0,0,0,"100,00%","0,00%",-,-,-,"0,1300","0,0000",-,-,-,"0,2600",50%,0,Not certified
mar 25,COLOMBIA,SYSTEMS ENGINEERING,DevOps,6136,DEVOPS - CI/CD,0,0,0,0,0,0,"0,0",0,"-99,0000","-99,0000","0,0000",0,0,0,0,-,-,-,-,-,-,-,-,-,-,"0,0000",No tiene el mínimo para calcular indicadores,-,-
